,GrupoHR,Contador,HRDescripcion,HRPuesto,GPlanificacion,EstadoGlobal,EstadoInstalacion,Estrategia,HRContador,EstrategiaMTTO,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Frecuencia
751,10016994,X1,COND_MEC_BOMBA Cambio de acople,TEC-MEC,P01,4.0,1.0,HOR002,10016994X1,COND,10,Cambio de acople de bomba,TEC-MEC,PM01,2.0,4.0,10016994X110,
752,10016994,X2,COND_MEC_BOMBA Cambio de rodamientos,TEC-MEC,P01,4.0,1.0,HOR002,10016994X2,COND,10,Cambio de rodamientos de bomba,TEC-MEC,PM01,2.0,6.0,10016994X210,
753,10016994,X3,COND_MEC_BOMBA Cambio de sello mecanico,TEC-MEC,P01,4.0,1.0,HOR002,10016994X3,COND,10,Cambio de sello mecanico de bomba,TEC-MEC,PM01,2.0,3.0,10016994X310,
754,10016994,X4,COND_MEC_BOMBA Camb elementos de union,TEC-MEC,P01,4.0,1.0,HOR002,10016994X4,COND,10,Camb elementos de union de bomba,TEC-MEC,PM01,2.0,0.5,10016994X410,
755,10016994,X5,COND_MEC_BOMBA Camb elementos de carcasa,TEC-MEC,P01,4.0,1.0,HOR002,10016994X5,COND,10,Cambio de carcasa de bomba,TEC-MEC,PM01,2.0,6.0,10016994X510,
756,10016994,Y1,COND_ELE_BOMBA Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016994Y1,COND,10,Cambio de rodamientos de motor,TEC-ELE,PM01,2.0,4.0,10016994Y110,
757,10016994,W1,COND_INS_BOMBA Reemplazo de instrumentos,TEC-INS,P01,4.0,1.0,HOR002,10016994W1,COND,10,Reemplazo de instrumentos de bomba,TEC-INS,PM01,2.0,2.0,10016994W110,
758,10016994,Z1,COND_PRED_BOMBA Alineamiento de acople,TEC-PRD,P01,4.0,1.0,HOR002,10016994Z1,COND,10,Alineamiento laser acople de bomba,TEC-PRD,PM01,2.0,2.0,10016994Z110,
759,10016950,X1,COND_MEC_BOMBA Cambio de acople,TEC-MEC,P01,4.0,1.0,HOR002,10016950X1,COND,10,Cambio de acople de bomba,TEC-MEC,PM01,2.0,2.0,10016950X110,
760,10016950,X2,COND_MEC_BOMBA Cambio de sellos juntas,TEC-MEC,P01,4.0,1.0,HOR002,10016950X2,COND,10,Cambio sellos y juntas de bomba,TEC-MEC,PM01,2.0,2.0,10016950X210,
761,10016950,X3,COND_MEC_BOMBA Cambio de rodamientos,TEC-MEC,P01,4.0,1.0,HOR002,10016950X3,COND,10,Cambio de rodamientos de bomba,TEC-MEC,PM01,2.0,3.0,10016950X310,
762,10016950,X4,COND_MEC_BOMBA Camb sello mecanic d bomb,TEC-MEC,P01,4.0,1.0,HOR002,10016950X4,COND,10,Cambio sello mecanico de bomba,TEC-MEC,PM01,2.0,3.0,10016950X410,
763,10016950,X5,COND_MEC_BOMBA Cambio de eje de bomba,TEC-MEC,P01,4.0,1.0,HOR002,10016950X5,COND,10,Cambio de eje de bomba,TEC-MEC,PM01,2.0,5.0,10016950X510,
764,10016950,X6,COND_MEC_BOMBA Camb elementos de union,TEC-MEC,P01,4.0,1.0,HOR002,10016950X6,COND,10,Camb elementos de union de bomba,TEC-MEC,PM01,2.0,1.0,10016950X610,
765,10016950,Y1,COND_ELE_BOMBA Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016950Y1,COND,10,Cambio de rodamientos de motor,TEC-ELE,PM01,2.0,5.0,10016950Y110,
766,10016950,Y2,COND_ELE_BOMBA Lubricacion de motor ,TEC-ELE,P01,4.0,1.0,HOR002,10016950Y2,COND,10,Lubricacion de motor de bomba,TEC-ELE,PM01,1.0,0.5,10016950Y210,
767,10016950,Z1,COND_PRED_BOMBA Alineamiento de acople,TEC-PRD,P01,4.0,1.0,HOR002,10016950Z1,COND,10,Alineamiento laser acople de bomba,TEC-PRD,PM01,3.0,2.0,10016950Z110,
768,10017071,X1,COND_MEC_BOMBA Mtto general de reductor ,TEC-MEC,P01,4.0,1.0,HOR002,10017071X1,COND,10,Mtto general de reductor de bomba,TEC-MEC,PM01,3.0,8.0,10017071X110,
769,10017071,X2,COND_MEC_BOMBA Cambio rodamientos,TEC-MEC,P01,4.0,1.0,HOR002,10017071X2,COND,10,Cambio rodamientos porta rodamiento,TEC-MEC,PM01,2.0,6.0,10017071X210,
770,10017071,X3,COND_MEC_BOMBA Cambio estator bomba,TEC-MEC,P01,4.0,1.0,HOR002,10017071X3,COND,10,Cambio de estator de estator de bomba,TEC-MEC,PM01,2.0,4.0,10017071X310,
771,10017071,X4,COND_MEC_BOMBA Cambio de rotor,TEC-MEC,P01,4.0,1.0,HOR002,10017071X4,COND,10,Cambio de rotor de bomba,TEC-MEC,PM01,2.0,4.0,10017071X410,
772,10017071,W1,COND_INS_BOMBA Cambio de instrumentos,TEC-INS,P01,4.0,1.0,HOR002,10017071W1,COND,10,Cambio instrumentos de bomba,TEC-INS,PM01,2.0,2.0,10017071W110,
773,10016663,X1,COND_MEC_BOMBA Cambio rodamient reductor,TEC-MEC,P01,4.0,1.0,HOR002,10016663X1,COND,10,Cambio rodamientos reductor velocidad,TEC-MEC,PM01,2.0,2.0,10016663X110,
774,10016663,X2,COND_MEC_BOMBA Cambio sellos radiale rod,TEC-MEC,P01,4.0,1.0,HOR002,10016663X2,COND,10,Cambio sellos radiales reductor veloc,TEC-MEC,PM01,2.0,1.0,10016663X210,
775,10016663,X3,COND_MEC_BOMBA Cambio cigüeñal cigüeñal,TEC-MEC,P01,4.0,1.0,HOR002,10016663X3,COND,10,Cambio de cigüeñal de bomba,TEC-MEC,PM01,2.0,3.0,10016663X310,
776,10016663,X4,COND_MEC_BOMBA Cambio rodamient cigüeñal,TEC-MEC,P01,4.0,1.0,HOR002,10016663X4,COND,10,Cambio de rodamientos de cigüeñal bomba,TEC-MEC,PM01,2.0,2.0,10016663X410,
777,10016663,X5,COND_MEC_BOMBA Cambio biela de cilindro,TEC-MEC,P01,4.0,1.0,HOR002,10016663X5,COND,10,Cambio de biela de cilindros de bomba,TEC-MEC,PM01,2.0,2.0,10016663X510,
778,10016663,X6,COND_MEC_BOMBA Cambio cruceta cilindros,TEC-MEC,P01,4.0,1.0,HOR002,10016663X6,COND,10,Cambio de cruceta de cilindros de bomba,TEC-MEC,PM01,2.0,2.0,10016663X610,
779,10016663,X7,COND_MEC_BOMBA Cambio embolo cilindro,TEC-MEC,P01,4.0,1.0,HOR002,10016663X7,COND,10,Cambio del embolo de cilindros de bomba,TEC-MEC,PM01,2.0,2.0,10016663X710,
780,10016663,X8,COND_MEC_BOMBA Cambio tapas de carcasa,TEC-MEC,P01,4.0,1.0,HOR002,10016663X8,COND,10,Cambio de tapas de carcasa de bomba,TEC-MEC,PM01,2.0,1.0,10016663X810,
781,10016663,Y1,COND_ELE_BOMBA Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016663Y1,COND,10,Cambio de rodamientos de motor,TEC-ELE,PM01,2.0,5.0,10016663Y110,
782,10016663,W1,COND_INS_BOMBA Cambio de instrumentos,TEC-INS,P01,4.0,1.0,HOR002,10016663W1,COND,10,Cambio instrumentos de bomba,TEC-INS,PM01,1.0,1.0,10016663W110,
783,10016686,X1,COND_MEC_BOMBA Cambio de carcasa,TEC-MEC,P01,4.0,1.0,HOR002,10016686X1,COND,10,Cambio de la carcasa de bomba,TEC-MEC,PM01,2.0,1.0,10016686X110,
784,10016686,X2,COND_MEC_BOMBA Cambio impulsor carcasa,TEC-MEC,P01,4.0,1.0,HOR002,10016686X2,COND,10,Cambio del impulsor de carcasa de bomba,TEC-MEC,PM01,2.0,1.0,10016686X210,
785,10016686,X3,COND_MEC_BOMBA Cambio de eje de bomba,TEC-MEC,P01,4.0,1.0,HOR002,10016686X3,COND,10,Cambio de eje de bomba,TEC-MEC,PM01,2.0,1.0,10016686X310,
786,10016686,X4,COND_MEC_BOMBA Cambio rodamientos eje,TEC-MEC,P01,4.0,1.0,HOR002,10016686X4,COND,10,Cambio de rodamientos de eje de bomba,TEC-MEC,PM01,2.0,1.0,10016686X410,
787,10016686,X5,COND_MEC_BOMBA Cambio de sellos radiales,TEC-MEC,P01,4.0,1.0,HOR002,10016686X5,COND,10,Cambio de sellos radiales de eje,TEC-MEC,PM01,2.0,1.0,10016686X510,
788,10016686,X6,COND_MEC_BOMBA Lubricacion rodami bomba,TEC-MEC,P01,4.0,1.0,HOR002,10016686X6,COND,10,Lubricacion de rodamientos de eje bomba,TEC-MEC,PM01,2.0,1.0,10016686X610,
789,10016686,X7,COND_MEC_BOMBA Camb sello mecanic d bomb,TEC-MEC,P01,4.0,1.0,HOR002,10016686X7,COND,10,Cambio sello mecanico de bomba,TEC-MEC,PM01,2.0,1.0,10016686X710,
790,10016686,Y1,COND_ELE_BOMBA Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016686Y1,COND,10,Cambio de rodamientos de motor,TEC-ELE,PM01,2.0,3.0,10016686Y110,
791,10016686,Y2,COND_ELE_BOMBA Lubricacion rodamie motor,TEC-ELE,P01,4.0,1.0,HOR002,10016686Y2,COND,10,Lubricacion rodamientos motor electrico,TEC-ELE,PM01,2.0,1.0,10016686Y210,
792,10016686,W1,COND_INS_BOMBA Cambio valvul instrumento,TEC-INS,P01,4.0,1.0,HOR002,10016686W1,COND,10,Cambio de instrumento y valv instrumento,TEC-INS,PM01,2.0,1.0,10016686W110,
793,10016688,X1,COND_MEC_BOMBA Cambio de carcasa,TEC-MEC,P01,4.0,1.0,HOR002,10016688X1,COND,10,Cambio de la carcasa de bomba,TEC-MEC,PM01,2.0,1.0,10016688X110,
794,10016688,X2,COND_MEC_BOMBA Cambio impulsor carcasa,TEC-MEC,P01,4.0,1.0,HOR002,10016688X2,COND,10,Cambio del impulsor de carcasa de bomba,TEC-MEC,PM01,2.0,1.0,10016688X210,
795,10016688,X3,COND_MEC_BOMBA Cambio de eje de bomba,TEC-MEC,P01,4.0,1.0,HOR002,10016688X3,COND,10,Cambio de eje de bomba,TEC-MEC,PM01,2.0,1.0,10016688X310,
796,10016688,X4,COND_MEC_BOMBA Cambio rodamientos eje,TEC-MEC,P01,4.0,1.0,HOR002,10016688X4,COND,10,Cambio de rodamientos de eje de bomba,TEC-MEC,PM01,2.0,1.0,10016688X410,
797,10016688,X5,COND_MEC_BOMBA Cambio de sellos radiales,TEC-MEC,P01,4.0,1.0,HOR002,10016688X5,COND,10,Cambio de sellos radiales de eje,TEC-MEC,PM01,2.0,1.0,10016688X510,
798,10016688,X6,COND_MEC_BOMBA Lubricacion rodami bomba,TEC-MEC,P01,4.0,1.0,HOR002,10016688X6,COND,10,Lubricacion de rodamientos de eje bomba,TEC-MEC,PM01,2.0,1.0,10016688X610,
799,10016688,X7,COND_MEC_BOMBA Camb sello mecanic d bomb,TEC-MEC,P01,4.0,1.0,HOR002,10016688X7,COND,10,Cambio sello mecanico de bomba,TEC-MEC,PM01,2.0,1.0,10016688X710,
800,10016688,Y1,COND_ELE_BOMBA Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016688Y1,COND,10,Cambio de rodamientos de motor,TEC-ELE,PM01,2.0,3.0,10016688Y110,
801,10016688,Y2,COND_ELE_BOMBA Lubricacion rodamie motor,TEC-ELE,P01,4.0,1.0,HOR002,10016688Y2,COND,10,Lubricacion rodamientos motor electrico,TEC-ELE,PM01,2.0,1.0,10016688Y210,
802,10016688,W1,COND_INS_BOMBA Cambio valvul instrumento,TEC-INS,P01,4.0,1.0,HOR002,10016688W1,COND,10,Cambio de instrumentos,TEC-INS,PM01,2.0,1.0,10016688W110,
803,10016879,X1,COND_MEC_FAJA  Cambio de acople de alta,TEC-MEC,P01,4.0,1.0,HOR002,10016879X1,COND,10,Cambio de acople de alta de faja,TEC-MEC,PM01,3.0,6.0,10016879X110,
804,10016879,X2,COND_MEC_FAJA  Cambio de acople de baja,TEC-MEC,P01,4.0,1.0,HOR002,10016879X2,COND,10,Cambio de acople de baja de faja,TEC-MEC,PM01,2.0,3.0,10016879X210,
805,10016879,X3,COND_MEC_FAJA  Camb rodamientos reductor,TEC-MEC,P01,4.0,1.0,HOR002,10016879X3,COND,10,Camb rodamientos reductor d velocidad,TEC-MEC,PM01,3.0,14.0,10016879X310,
806,10016879,X4,COND_MEC_FAJA  Camb sellos de reductor,TEC-MEC,P01,4.0,1.0,HOR002,10016879X4,COND,10,Camb sellos de reductor de velocidad,TEC-MEC,PM01,2.0,4.0,10016879X410,
807,10016879,X5,COND_MEC_FAJA  Camb bomb aceit sist enfr,TEC-MEC,P01,4.0,1.0,HOR002,10016879X5,COND,10,Camb bomba d aceite sist enfr de faja,TEC-MEC,PM01,2.0,4.0,10016879X510,
808,10016879,X6,COND_MEC_FAJA  Camb chumac polea cabeza,TEC-MEC,P01,4.0,1.0,HOR002,10016879X6,COND,10,Camb chumac/rodam polea cabeza faja,TEC-MEC,PM01,4.0,8.0,10016879X610,
809,10016879,X7,COND_MEC_FAJA  Camb chumac polea d cola,TEC-MEC,P01,4.0,1.0,HOR002,10016879X7,COND,10,Camb chumac/rodam polea d cola faja,TEC-MEC,PM01,4.0,8.0,10016879X710,
810,10016879,X8,COND_MEC_FAJA  Cambio de chumac y rod,TEC-MEC,P01,4.0,1.0,HOR002,10016879X8,COND,10,Camb d chumaceras y rodam d polea,TEC-MEC,PM01,4.0,8.0,10016879X810,
811,10016879,X9,COND_MEC_FAJA  Cambio de chumac y rod,TEC-MEC,P01,4.0,1.0,HOR002,10016879X9,COND,10,Camb chumaceras y rodamientos de polea,TEC-MEC,PM01,4.0,8.0,10016879X910,
812,10016879,XA,COND_MEC_FAJA  Cambio raspador primario,TEC-MEC,P01,4.0,1.0,HOR002,10016879XA,COND,10,Cambio del raspador primario de faja,TEC-MEC,PM01,2.0,2.0,10016879XA10,
813,10016879,XB,COND_MEC_FAJA  Camb placas raspador sec,TEC-MEC,P01,4.0,1.0,HOR002,10016879XB,COND,10,Cambio placas d raspador secund faja,TEC-MEC,PM01,2.0,2.0,10016879XB10,
814,10016879,Y1,COND_ELE_FAJA  Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016879Y1,COND,10,Cambio de rodamientos de motor,TEC-ELE,PM01,2.0,5.0,10016879Y110,
815,10016879,W1,COND_INS_FAJA  Cambio de instrumentos,TEC-INS,P01,4.0,1.0,HOR002,10016879W1,COND,10,Cambio de instrumentos de faja,TEC-INS,PM01,2.0,4.0,10016879W110,
816,10016879,Z1,COND_PRED_FAJA  Alineamiento acople alta,TEC-PRD,P01,4.0,1.0,HOR002,10016879Z1,COND,10,Alineamiento laser acople de alta faja,TEC-PRD,PM01,2.0,2.0,10016879Z110,
817,10016879,Z2,COND_PRED_FAJA  Alineamiento acople baja,TEC-PRD,P01,4.0,1.0,HOR002,10016879Z2,COND,10,Alineamiento laser acople de baja faja,TEC-PRD,PM01,2.0,2.0,10016879Z210,
818,10016916,X1,COND_MEC_FAJA  Cambio de acople de alta,TEC-MEC,P01,4.0,1.0,HOR002,10016916X1,COND,10,Cambio de acople de alta de faja,TEC-MEC,PM01,3.0,6.0,10016916X110,
819,10016916,X2,COND_MEC_FAJA  Cambio de acople de baja,TEC-MEC,P01,4.0,1.0,HOR002,10016916X2,COND,10,Cambio de acople de baja de faja,TEC-MEC,PM01,2.0,3.0,10016916X210,
820,10016916,X3,COND_MEC_FAJA  Camb rodamientos reductor,TEC-MEC,P01,4.0,1.0,HOR002,10016916X3,COND,10,Camb rodamientos reductor d velocidad,TEC-MEC,PM01,3.0,14.0,10016916X310,
821,10016916,X4,COND_MEC_FAJA  Camb sellos de reductor,TEC-MEC,P01,4.0,1.0,HOR002,10016916X4,COND,10,Camb sellos de reductor de velocidad,TEC-MEC,PM01,2.0,4.0,10016916X410,
822,10016916,X5,COND_MEC_FAJA  Camb bomb aceit sist enfr,TEC-MEC,P01,4.0,1.0,HOR002,10016916X5,COND,10,Camb bomba d aceite sist enfr de faja,TEC-MEC,PM01,2.0,4.0,10016916X510,
823,10016916,X6,COND_MEC_FAJA  Camb chumac polea cabeza,TEC-MEC,P01,4.0,1.0,HOR002,10016916X6,COND,10,Camb chumac/rodam polea cabeza faja,TEC-MEC,PM01,4.0,8.0,10016916X610,
824,10016916,X7,COND_MEC_FAJA  Camb chumac polea d cola,TEC-MEC,P01,4.0,1.0,HOR002,10016916X7,COND,10,Camb chumac/rodam polea d cola faja,TEC-MEC,PM01,4.0,8.0,10016916X710,
825,10016916,X8,COND_MEC_FAJA  Cambio raspador primario,TEC-MEC,P01,4.0,1.0,HOR002,10016916X8,COND,10,Cambio del raspador primario de faja,TEC-MEC,PM01,2.0,2.0,10016916X810,
826,10016916,X9,COND_MEC_FAJA  Camb placas raspador sec,TEC-MEC,P01,4.0,1.0,HOR002,10016916X9,COND,10,Cambio placas d raspador secund faja,TEC-MEC,PM01,2.0,2.0,10016916X910,
827,10016916,Y1,COND_ELE_FAJA  Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016916Y1,COND,10,Cambio de rodamientos de motor,TEC-ELE,PM01,2.0,5.0,10016916Y110,
828,10016916,W1,COND_INS_FAJA  Cambio de instrumentos,TEC-INS,P01,4.0,1.0,HOR002,10016916W1,COND,10,Cambio de instrumentos de faja,TEC-INS,PM01,2.0,3.0,10016916W110,
829,10016916,Z1,COND_PRED_FAJA  Alineamiento acople alta,TEC-PRD,P01,4.0,1.0,HOR002,10016916Z1,COND,10,Alineamiento laser acople de alta faja,TEC-PRD,PM01,2.0,2.0,10016916Z110,
830,10016916,Z2,COND_PRED_FAJA  Alineamiento acople baja,TEC-PRD,P01,4.0,1.0,HOR002,10016916Z2,COND,10,Alineamiento laser acople de baja faja,TEC-PRD,PM01,2.0,2.0,10016916Z210,
831,10016901,X1,COND_MEC_ALIM  Cambio de acoplamiento,TEC-MEC,P01,4.0,1.0,HOR002,10016901X1,COND,10,Cambio de acoplamiento de eje,TEC-MEC,PM01,2.0,2.5,10016901X110,
832,10016901,X2,COND_MEC_ALIM  Cambio de eje,TEC-MEC,P01,4.0,1.0,HOR002,10016901X2,COND,10,Cambio de eje de accionamiento,TEC-MEC,PM01,2.0,4.0,10016901X210,
833,10016901,X3,COND_MEC_ALIM  Cambio de excitador,TEC-MEC,P01,4.0,1.0,HOR002,10016901X3,COND,10,Cambio de excitador,TEC-MEC,PM01,3.0,7.0,10016901X310,
834,10016901,X4,COND_MEC_ALIM  Cambio de resortes,TEC-MEC,P01,4.0,1.0,HOR002,10016901X4,COND,10,Cambio de resortes de bastidor,TEC-MEC,PM01,3.0,4.0,10016901X410,
835,10016901,Y1,COND_ELE_ALIM  Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016901Y1,COND,10,Cambio de rodamientos de motor,TEC-ELE,PM01,2.0,5.0,10016901Y110,
836,10016901,W1,COND_INS_ALIM  Cambio instrumentos alim,TEC-INS,P01,4.0,1.0,HOR002,10016901W1,COND,10,Cambio instrumentos de alimentador,TEC-INS,PM01,2.0,4.0,10016901W110,
837,10016902,X1,COND_MEC_ALIM  Cambio de acoplamiento,TEC-MEC,P01,4.0,1.0,HOR002,10016902X1,COND,10,Cambio de acoplamiento de eje,TEC-MEC,PM01,2.0,2.5,10016902X110,
838,10016902,X2,COND_MEC_ALIM  Cambio de eje,TEC-MEC,P01,4.0,1.0,HOR002,10016902X2,COND,10,Cambio de eje de accionamiento,TEC-MEC,PM01,2.0,4.0,10016902X210,
839,10016902,X3,COND_MEC_ALIM  Cambio de excitador,TEC-MEC,P01,4.0,1.0,HOR002,10016902X3,COND,10,Cambio de excitador,TEC-MEC,PM01,3.0,7.0,10016902X310,
840,10016902,X4,COND_MEC_ALIM  Cambio de resortes,TEC-MEC,P01,4.0,1.0,HOR002,10016902X4,COND,10,Cambio de resortes de bastidor,TEC-MEC,PM01,3.0,4.0,10016902X410,
841,10016902,Y1,COND_ELE_ALIM  Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016902Y1,COND,10,Cambio de rodamientos de motor,TEC-ELE,PM01,2.0,5.0,10016902Y110,
842,10016902,W1,COND_INS_ALIM  Cambio instrumentos alim,TEC-INS,P01,4.0,1.0,HOR002,10016902W1,COND,10,Cambio instrumentos de alimentador,TEC-INS,PM01,2.0,4.0,10016902W110,
843,10016903,X1,COND_MEC_ALIM  Cambio de acoplamiento,TEC-MEC,P01,4.0,1.0,HOR002,10016903X1,COND,10,Cambio de acoplamiento de eje,TEC-MEC,PM01,2.0,2.5,10016903X110,
844,10016903,X2,COND_MEC_ALIM  Cambio de eje,TEC-MEC,P01,4.0,1.0,HOR002,10016903X2,COND,10,Cambio de eje de accionamiento,TEC-MEC,PM01,2.0,4.0,10016903X210,
845,10016903,X3,COND_MEC_ALIM  Cambio de excitador,TEC-MEC,P01,4.0,1.0,HOR002,10016903X3,COND,10,Cambio de excitador,TEC-MEC,PM01,3.0,7.0,10016903X310,
846,10016903,X4,COND_MEC_ALIM  Cambio de resortes,TEC-MEC,P01,4.0,1.0,HOR002,10016903X4,COND,10,Cambio de resortes de bastidor,TEC-MEC,PM01,3.0,4.0,10016903X410,
847,10016903,Y1,COND_ELE_ALIM  Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016903Y1,COND,10,Cambio de rodamientos de motor,TEC-ELE,PM01,2.0,5.0,10016903Y110,
848,10016903,W1,COND_INS_ALIM  Cambio instrumentos alim,TEC-INS,P01,4.0,1.0,HOR002,10016903W1,COND,10,Cambio instrumentos de alimentador,TEC-INS,PM01,2.0,4.0,10016903W110,
849,10016886,X1,COND_MEC_ALI V Cambio de acoplamiento,TEC-MEC,P01,4.0,1.0,HOR002,10016886X1,COND,10,Cambio de acoplamiento de eje,TEC-MEC,PM01,2.0,2.5,10016886X110,
850,10016886,X2,COND_MEC_ALI V Cambio de eje,TEC-MEC,P01,4.0,1.0,HOR002,10016886X2,COND,10,Cambio de eje de accionamiento,TEC-MEC,PM01,2.0,4.0,10016886X210,
851,10016886,X3,COND_MEC_ALI V Cambio de excitador,TEC-MEC,P01,4.0,1.0,HOR002,10016886X3,COND,10,Cambio de excitador,TEC-MEC,PM01,3.0,7.0,10016886X310,
852,10016886,X4,COND_MEC_ALI V Cambio de resortes,TEC-MEC,P01,4.0,1.0,HOR002,10016886X4,COND,10,Cambio panales frontales,TEC-MEC,PM01,3.0,6.0,10016886X410,
853,10016886,X5,COND_MEC_ALI V Cambio de resortes,TEC-MEC,P01,4.0,1.0,HOR002,10016886X5,COND,10,Cambio de resortes de bastidor,TEC-MEC,PM01,3.0,4.0,10016886X510,
854,10016886,Y1,COND_ELE_ALI V Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10016886Y1,COND,10,Cambio de rodamientos de motor,TEC-ELE,PM01,2.0,5.0,10016886Y110,
855,10016886,W1,COND_INS_ALI V Cambio instrumentos alim,TEC-INS,P01,4.0,1.0,HOR002,10016886W1,COND,10,Cambio instrumentos de alimentador,TEC-INS,PM01,2.0,4.0,10016886W110,
856,10017027,X1,COND_MEC_GRUA  Mtto motorreductor d grua,TEC-MEC,P01,4.0,1.0,HOR002,10017027X1,COND,10,Mtto d reductor de motorreductor de grua,TEC-MEC,PM01,4.0,12.0,10017027X110,
857,10017027,X2,COND_MEC_GRUA  Cambio de reductor,TEC-MEC,P01,4.0,1.0,HOR002,10017027X2,COND,10,Cambio del reductor,TEC-MEC,PM01,4.0,6.0,10017027X210,
858,10017027,X3,COND_MEC_GRUA  Cambio de componentes,TEC-MEC,P01,4.0,1.0,HOR002,10017027X3,COND,10,Cambio de componentes de testero de grua,TEC-MEC,PM01,2.0,4.0,10017027X310,
859,10017027,X4,COND_MEC_GRUA  Mantenimiento d reductor,TEC-MEC,P01,4.0,1.0,HOR002,10017027X4,COND,10,Mantenimiento del reductor,TEC-MEC,PM01,2.0,4.0,10017027X410,
860,10017027,X5,COND_MEC_GRUA  Cambio de reductor,TEC-MEC,P01,4.0,1.0,HOR002,10017027X5,COND,10,Cambio del reductor,TEC-MEC,PM01,4.0,6.0,10017027X510,
861,10017027,X6,COND_MEC_GRUA  Cambio de acople,TEC-MEC,P01,4.0,1.0,HOR002,10017027X6,COND,10,Cambio de acople de grua,TEC-MEC,PM01,2.0,3.0,10017027X610,
862,10017027,X7,COND_MEC_GRUA  Cambio de componentes,TEC-MEC,P01,4.0,1.0,HOR002,10017027X7,COND,10,Camb d componentes de freno hidraulico,TEC-MEC,PM01,2.0,2.0,10017027X710,
863,10017027,X8,COND_MEC_GRUA  Mantto reductor d grua,TEC-MEC,P01,4.0,1.0,HOR002,10017027X8,COND,10,Mantenimiento general d reductor de grua,TEC-MEC,PM01,3.0,6.0,10017027X810,
864,10017027,X9,COND_MEC_GRUA  Cambio de rodamientos,TEC-MEC,P01,4.0,1.0,HOR002,10017027X9,COND,10,Cambio de rodamientos d tambores de grua,TEC-MEC,PM01,2.0,4.0,10017027X910,
865,10017027,XA,COND_MEC_GRUA  Cambio de cable,TEC-MEC,P01,4.0,1.0,HOR002,10017027XA,COND,10,Cambio del cable de cable de grua,TEC-MEC,PM01,4.0,6.0,10017027XA10,
866,10017027,Y1,COND_ELE_GRUA  Cambio rodamientos motor,TEC-ELE,P01,4.0,1.0,HOR002,10017027Y1,COND,10,Cambio de rodamientos de motor,TEC-ELE,PM01,2.0,8.0,10017027Y110,
867,10017027,Y2,COND_ELE_GRUA  Cambio de motor,TEC-ELE,P01,4.0,1.0,HOR002,10017027Y2,COND,10,Cambio de motor electrico de grua,TEC-ELE,PM01,4.0,4.0,10017027Y210,
868,10017027,W1,COND_INS_GRUA  Cambio de instrumentos,TEC-INS,P01,4.0,1.0,HOR002,10017027W1,COND,10,Camb de instrumentos y sensores,TEC-INS,PM01,2.0,2.0,10017027W110,
869,10017027,Z1,COND_PRED_GRUA  Alineamiento de acople,TEC-PRD,P01,4.0,1.0,HOR002,10017027Z1,COND,10,Alineamiento laser de acople de grua,TEC-PRD,PM01,2.0,2.0,10017027Z110,
870,10016691,X1,COND_MEC_BOMBA Cambio de carcasa,TEC-MEC,P01,4.0,1.0,HOR002,10016691X1,COND,10,Cambio de la carcasa de bomba,TEC-MEC,PM01,2.0,1.0,10016691X110,
871,10016691,X2,COND_MEC_BOMBA Cambio impulsor carcasa,TEC-MEC,P01,4.0,1.0,HOR002,10016691X2,COND,10,Cambio del impulsor de bomba,TEC-MEC,PM01,2.0,1.0,10016691X210,
872,10016691,X3,COND_MEC_BOMBA Cambio de eje de bomba,TEC-MEC,P01,4.0,1.0,HOR002,10016691X3,COND,10,Cambio de eje de bomba,TEC-MEC,PM01,2.0,1.0,10016691X310,
873,10016691,X4,COND_MEC_BOMBA Cambio rodamientos eje,TEC-MEC,P01,4.0,1.0,HOR002,10016691X4,COND,10,Cambio de rodamientos de eje de bomba,TEC-MEC,PM01,2.0,1.0,10016691X410,
874,10016691,X5,COND_MEC_BOMBA Cambio de sellos radiales,TEC-MEC,P01,4.0,1.0,HOR002,10016691X5,COND,10,Cambio de sellos radiales d eje de bomba,TEC-MEC,PM01,2.0,1.0,10016691X510,
875,10016691,X6,COND_MEC_BOMBA Lubricacion rodami bomba,TEC-MEC,P01,4.0,1.0,HOR002,10016691X6,COND,10,Lubricacion de rodamientos d eje d bomba,TEC-MEC,PM01,2.0,1.0,10016691X610,
876,10016691,X7,COND_MEC_BOMBA Camb sello mecanic d bomb,TEC-MEC,P01,4.0,1.0,HOR002,10016691X7,COND,10,Cambio sello mecanico de bomba,TEC-MEC,PM01,2.0,1.0,10016691X710,
