PE,1_WBS,2_WBS,3_WBS,4_WBS,WBS,Level,All,Lvl 1,Lvl 1 ENG,Lvl 1 ESP,Lvl 2,Lvl 2 ENG,Lvl 2 ESP,Lvl 3,Lvl 3 ENG,Lvl 3 ESP,Lvl 4,Lvl 1 ENG,Lvl 1 ESP
31,3,1,0,0,3100,2,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,,,,,,
311,3,1,1,0,3110,3,PRIMARY CRUSHING / CHANCADO PRIMARIO,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,PRIMARY CRUSHING / CHANCADO PRIMARIO,PRIMARY CRUSHING,CHANCADO PRIMARIO,,,
3111,3,1,1,1,3111,4,Primary Crushing Station / Estación de Chancado Primario,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,PRIMARY CRUSHING / CHANCADO PRIMARIO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing Station / Estación de Chancado Primario,Primary Crushing Station,Estación de Chancado Primario
3112,3,1,1,2,3112,4,Conveyors / Fajas Transportadoras,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,PRIMARY CRUSHING / CHANCADO PRIMARIO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Conveyors / Fajas Transportadoras,Conveyors,Fajas Transportadoras
3113,3,1,1,3,3113,4,Water services / Servicios de Agua,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,PRIMARY CRUSHING / CHANCADO PRIMARIO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Water services / Servicios de Agua,Water services,Servicios de Agua
3114,3,1,1,4,3114,4,Air services / Servicios de Aire,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,PRIMARY CRUSHING / CHANCADO PRIMARIO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Air services / Servicios de Aire,Air services,Servicios de Aire
3119,3,1,1,9,3119,4,Primary Crushing General / Chancado Primario - General,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,PRIMARY CRUSHING / CHANCADO PRIMARIO,PRIMARY CRUSHING,CHANCADO PRIMARIO,Primary Crushing General / Chancado Primario - General,Primary Crushing General,Chancado Primario - General
312,3,1,2,0,3120,3,STOCKPILE AND RECLAIM / PILA DE ALMACENAMIENTO Y RECUPERACIÓN,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,STOCKPILE AND RECLAIM / PILA DE ALMACENAMIENTO Y RECUPERACIÓN,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,,,
3121,3,1,2,1,3121,4,Stockpile / Pila de almacenamiento,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,STOCKPILE AND RECLAIM / PILA DE ALMACENAMIENTO Y RECUPERACIÓN,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Stockpile / Pila de almacenamiento,Stockpile,Pila de almacenamiento
3122,3,1,2,2,3122,4,Reclaim Tunnel & Feeders / Túnel de Recuperación y Alimentadores,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,STOCKPILE AND RECLAIM / PILA DE ALMACENAMIENTO Y RECUPERACIÓN,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Reclaim Tunnel & Feeders / Túnel de Recuperación y Alimentadores,Reclaim Tunnel & Feeders,Túnel de Recuperación y Alimentadores
3129,3,1,2,9,3129,4,Primary Crushing General / Chancado Primario - General,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,STOCKPILE AND RECLAIM / PILA DE ALMACENAMIENTO Y RECUPERACIÓN,STOCKPILE AND RECLAIM,PILA DE ALMACENAMIENTO Y RECUPERACIÓN,Primary Crushing General / Chancado Primario - General,Primary Crushing General,Chancado Primario - General
313,3,1,3,0,3130,3,SECONDARY SCREENING & CRUSHING / ZARANDEO Y CHANCADO SECUNDARIOS,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,SECONDARY SCREENING & CRUSHING / ZARANDEO Y CHANCADO SECUNDARIOS,SECONDARY SCREENING & CRUSHING,ZARANDEO Y CHANCADO SECUNDARIOS,,,
3131,3,1,3,1,3131,4,Secondary Screening / Zarandeo Secundario,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,SECONDARY SCREENING & CRUSHING / ZARANDEO Y CHANCADO SECUNDARIOS,SECONDARY SCREENING & CRUSHING,ZARANDEO Y CHANCADO SECUNDARIOS,Secondary Screening / Zarandeo Secundario,Secondary Screening,Zarandeo Secundario
3132,3,1,3,2,3132,4,Secondary Crushing / Chancado Secundario,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,SECONDARY SCREENING & CRUSHING / ZARANDEO Y CHANCADO SECUNDARIOS,SECONDARY SCREENING & CRUSHING,ZARANDEO Y CHANCADO SECUNDARIOS,Secondary Crushing / Chancado Secundario,Secondary Crushing,Chancado Secundario
3133,3,1,3,3,3133,4,Conveyor / Faja Transportadora,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,SECONDARY SCREENING & CRUSHING / ZARANDEO Y CHANCADO SECUNDARIOS,SECONDARY SCREENING & CRUSHING,ZARANDEO Y CHANCADO SECUNDARIOS,Conveyor / Faja Transportadora,Conveyor,Faja Transportadora
3134,3,1,3,4,3134,4,Dust Collection / Recolección de Polvo,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,SECONDARY SCREENING & CRUSHING / ZARANDEO Y CHANCADO SECUNDARIOS,SECONDARY SCREENING & CRUSHING,ZARANDEO Y CHANCADO SECUNDARIOS,Dust Collection / Recolección de Polvo,Dust Collection,Recolección de Polvo
3139,3,1,3,9,3139,4,Secondary Screening & Crushing General / Zarandeo y Chancado Secundarios - General,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,SECONDARY SCREENING & CRUSHING / ZARANDEO Y CHANCADO SECUNDARIOS,SECONDARY SCREENING & CRUSHING,ZARANDEO Y CHANCADO SECUNDARIOS,Secondary Screening & Crushing General / Zarandeo y Chancado Secundarios - General,Secondary Screening & Crushing General,Zarandeo y Chancado Secundarios - General
314,3,1,4,0,3140,3,TERTIARY SCREENING AND CRUSHING / ZARANDEO Y CHANCADO TERCIARIOS,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,TERTIARY SCREENING AND CRUSHING / ZARANDEO Y CHANCADO TERCIARIOS,TERTIARY SCREENING AND CRUSHING,ZARANDEO Y CHANCADO TERCIARIOS,,,
3141,3,1,4,1,3141,4,Tertiary screening feed / Alimentador de zarandeo terciario,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,TERTIARY SCREENING AND CRUSHING / ZARANDEO Y CHANCADO TERCIARIOS,TERTIARY SCREENING AND CRUSHING,ZARANDEO Y CHANCADO TERCIARIOS,Tertiary screening feed / Alimentador de zarandeo terciario,Tertiary screening feed,Alimentador de zarandeo terciario
3142,3,1,4,2,3142,4,Tertiary screening / Zarandeo terciario,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,TERTIARY SCREENING AND CRUSHING / ZARANDEO Y CHANCADO TERCIARIOS,TERTIARY SCREENING AND CRUSHING,ZARANDEO Y CHANCADO TERCIARIOS,Tertiary screening / Zarandeo terciario,Tertiary screening,Zarandeo terciario
3143,3,1,4,3,3143,4,Tertiary crushing feed / Alimentador de chancado terciario,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,TERTIARY SCREENING AND CRUSHING / ZARANDEO Y CHANCADO TERCIARIOS,TERTIARY SCREENING AND CRUSHING,ZARANDEO Y CHANCADO TERCIARIOS,Tertiary crushing feed / Alimentador de chancado terciario,Tertiary crushing feed,Alimentador de chancado terciario
3144,3,1,4,4,3144,4,Tertiary crushing / chancado terciario,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,TERTIARY SCREENING AND CRUSHING / ZARANDEO Y CHANCADO TERCIARIOS,TERTIARY SCREENING AND CRUSHING,ZARANDEO Y CHANCADO TERCIARIOS,Tertiary crushing / chancado terciario,Tertiary crushing,chancado terciario
3145,3,1,4,5,3145,4,Dust Collection / Recolección de Polvo,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,TERTIARY SCREENING AND CRUSHING / ZARANDEO Y CHANCADO TERCIARIOS,TERTIARY SCREENING AND CRUSHING,ZARANDEO Y CHANCADO TERCIARIOS,Dust Collection / Recolección de Polvo,Dust Collection,Recolección de Polvo
3149,3,1,4,9,3149,4,Tertiary Screening & Crushing General / Zarandeo y Chancado Terciarios - General,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,TERTIARY SCREENING AND CRUSHING / ZARANDEO Y CHANCADO TERCIARIOS,TERTIARY SCREENING AND CRUSHING,ZARANDEO Y CHANCADO TERCIARIOS,Tertiary Screening & Crushing General / Zarandeo y Chancado Terciarios - General,Tertiary Screening & Crushing General,Zarandeo y Chancado Terciarios - General
315,3,1,5,0,3150,3,CRUSHING GENERAL,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,CRUSHING GENERAL,CRUSHING GENERAL,CRUSHING GENERAL,,,
3159,3,1,5,9,3159,4,Crushing General / Chancado - General,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,CRUSHING GENERAL,CRUSHING GENERAL,CRUSHING GENERAL,Crushing General / Chancado - General,Crushing General,Chancado - General
316,3,1,6,0,3160,3,FINE ORE PRODUCT / PRODUCTO DE MINERAL FINO,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,FINE ORE PRODUCT / PRODUCTO DE MINERAL FINO,FINE ORE PRODUCT,PRODUCTO DE MINERAL FINO,,,
3161,3,1,6,1,3161,4,Fine ore product conveyor / Faja transportadora de producto de mineral fino,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,FINE ORE PRODUCT / PRODUCTO DE MINERAL FINO,FINE ORE PRODUCT,PRODUCTO DE MINERAL FINO,Fine ore product conveyor / Faja transportadora de producto de mineral fino,Fine ore product conveyor,Faja transportadora de producto de mineral fino
3169,3,1,6,9,3169,4,Fine ore product general / Faja transportadora de producto de mineral fino - general,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,FINE ORE PRODUCT / PRODUCTO DE MINERAL FINO,FINE ORE PRODUCT,PRODUCTO DE MINERAL FINO,Fine ore product general / Faja transportadora de producto de mineral fino - general,Fine ore product general,Faja transportadora de producto de mineral fino - general
319,3,1,9,0,3190,3,CRUSHING & ORE HANDLING ELECTRICAL WORKS,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING ELECTRICAL WORKS,CRUSHING & ORE HANDLING ELECTRICAL WORKS,CRUSHING & ORE HANDLING ELECTRICAL WORKS,,,
3199,3,1,9,9,3199,4,Electrical Works / Trabajos Eléctricos,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,CRUSHING & ORE HANDLING / CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING,CHANCADO Y MANEJO DE MINERAL,CRUSHING & ORE HANDLING ELECTRICAL WORKS,CRUSHING & ORE HANDLING ELECTRICAL WORKS,CRUSHING & ORE HANDLING ELECTRICAL WORKS,Electrical Works / Trabajos Eléctricos,Electrical Works,Trabajos Eléctricos
32,3,2,0,0,3200,2,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS",OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",,,,,,
321,3,2,1,0,3210,3,PRE TREATMENT / PRETRATAMIENTO,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",PRE TREATMENT / PRETRATAMIENTO,PRE TREATMENT,PRETRATAMIENTO,,,
3211,3,2,1,1,3211,4,Pre-treatment Drum / Tambor de Pretratamiento,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",PRE TREATMENT / PRETRATAMIENTO,PRE TREATMENT,PRETRATAMIENTO,Pre-treatment Drum / Tambor de Pretratamiento,Pre-treatment Drum,Tambor de Pretratamiento
322,3,2,2,0,3220,3,VAT FEED / ALIMENTADOR DE BATEAS,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",VAT FEED / ALIMENTADOR DE BATEAS,VAT FEED,ALIMENTADOR DE BATEAS,,,
3221,3,2,2,1,3221,4,Vat feed conveyors / Fajas transportadoras de alimentador de bateas,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",VAT FEED / ALIMENTADOR DE BATEAS,VAT FEED,ALIMENTADOR DE BATEAS,Vat feed conveyors / Fajas transportadoras de alimentador de bateas,Vat feed conveyors,Fajas transportadoras de alimentador de bateas
3229,3,2,2,9,3229,4,Vat feed general / Alimentador de bateas - general,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",VAT FEED / ALIMENTADOR DE BATEAS,VAT FEED,ALIMENTADOR DE BATEAS,Vat feed general / Alimentador de bateas - general,Vat feed general,Alimentador de bateas - general
323,3,2,3,0,3230,3,RIPIOS DISPOSAL / DISPOSICIÓN DE RIPIOS,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",RIPIOS DISPOSAL / DISPOSICIÓN DE RIPIOS,RIPIOS DISPOSAL,DISPOSICIÓN DE RIPIOS,,,
3231,3,2,3,1,3231,4,Vat Unloading / Descarga de Bateas,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",RIPIOS DISPOSAL / DISPOSICIÓN DE RIPIOS,RIPIOS DISPOSAL,DISPOSICIÓN DE RIPIOS,Vat Unloading / Descarga de Bateas,Vat Unloading,Descarga de Bateas
3232,3,2,3,2,3232,4,Ripios conveying / Transporte en fajas de ripios,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",RIPIOS DISPOSAL / DISPOSICIÓN DE RIPIOS,RIPIOS DISPOSAL,DISPOSICIÓN DE RIPIOS,Ripios conveying / Transporte en fajas de ripios,Ripios conveying,Transporte en fajas de ripios
3233,3,2,3,3,3233,4,Ripios truck loading / Carga de ripios en camiones,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",RIPIOS DISPOSAL / DISPOSICIÓN DE RIPIOS,RIPIOS DISPOSAL,DISPOSICIÓN DE RIPIOS,Ripios truck loading / Carga de ripios en camiones,Ripios truck loading,Carga de ripios en camiones
3234,3,2,3,4,3234,4,Mine Waste Haulage to Ripios Dump / Acarreo de Residuos de Mina al Área de Descarga de Ripios,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",RIPIOS DISPOSAL / DISPOSICIÓN DE RIPIOS,RIPIOS DISPOSAL,DISPOSICIÓN DE RIPIOS,Mine Waste Haulage to Ripios Dump / Acarreo de Residuos de Mina al Área de Descarga de Ripios,Mine Waste Haulage to Ripios Dump,Acarreo de Residuos de Mina al Área de Descarga de Ripios
3239,3,2,3,9,3239,4,Ripios Disposal General / Disposición de Ripios - General,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",RIPIOS DISPOSAL / DISPOSICIÓN DE RIPIOS,RIPIOS DISPOSAL,DISPOSICIÓN DE RIPIOS,Ripios Disposal General / Disposición de Ripios - General,Ripios Disposal General,Disposición de Ripios - General
324,3,2,4,0,3240,3,VATS / BATEAS,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",VATS / BATEAS,VATS,BATEAS,,,
3241,3,2,4,1,3241,4,Vats / Bateas,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",VATS / BATEAS,VATS,BATEAS,Vats / Bateas,Vats,Bateas
3242,3,2,4,2,3242,4,Vats General / Bateas - General,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",VATS / BATEAS,VATS,BATEAS,Vats General / Bateas - General,Vats General,Bateas - General
325,3,2,5,0,3250,3,PONDS / POZAS,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",PONDS / POZAS,PONDS,POZAS,,,
3251,3,2,5,1,3251,4,HG PLS pond / Poza de Solución Enriquecida de Lixiviación de Alta Ley,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",PONDS / POZAS,PONDS,POZAS,HG PLS pond / Poza de Solución Enriquecida de Lixiviación de Alta Ley,HG PLS pond,Poza de Solución Enriquecida de Lixiviación de Alta Ley
3252,3,2,5,2,3252,4,LG PLS pond / Poza de Solución Enriquecida de Lixiviación de Baja Ley,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",PONDS / POZAS,PONDS,POZAS,LG PLS pond / Poza de Solución Enriquecida de Lixiviación de Baja Ley,LG PLS pond,Poza de Solución Enriquecida de Lixiviación de Baja Ley
3253,3,2,5,3,3253,4,HG Raffinate pond / Poza de Refino de Alta Ley,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",PONDS / POZAS,PONDS,POZAS,HG Raffinate pond / Poza de Refino de Alta Ley,HG Raffinate pond,Poza de Refino de Alta Ley
3254,3,2,5,4,3254,4,LG Raffinate pond / Poza de Refino de Baja Ley,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",PONDS / POZAS,PONDS,POZAS,LG Raffinate pond / Poza de Refino de Baja Ley,LG Raffinate pond,Poza de Refino de Baja Ley
3259,3,2,5,9,3259,4,Ponds - General,OXIDE PLANT / PLANTA DE ÓXIDO,OXIDE PLANT,PLANTA DE ÓXIDO,"PRE-TREATMENT, VATS AND PONDS / PRETRATAMIENTO, BATEAS Y POZAS","PRE-TREATMENT, VATS AND PONDS","PRETRATAMIENTO, BATEAS Y POZAS",PONDS / POZAS,PONDS,POZAS,Ponds - General,Ponds - General,Ponds - General
