key_dutie,Primary task detail activity,Maintenance type,Specialist,Constraint,Time,Amount Craft,Frequency,Unidad Periodo
4313-PU-408|01-05-03,"Corregir defectos de pie cojo en el equipo movil, diagnosticar el desalineamiento con equipo laser, lainar los puntos de anclaje del equipo movil asi como los desplazamientos horizontales según los datos del equipo de alineamiento laser, torquear pernos de anclaje, realizar medición de estado fianl de alineamiento dentro de valores de tolerancia con el equipo de alineamiento.",PRED,TEC-PRD,DET,2,3,8000,H
4313-PU-408|02-01-01,"Verificar el ajuste entre la placa lateral y el impulsor, verificar fuga por los pernos de unión y/o juntas de la carcasa, verificar condición de pernos de unión, verificar desgaste y/o corrosión de la carcasa. Verificar prueba de funcionamiento y tomar parámetros operacionales.",INSP,TEC-MEC,MAR,0.25,2,165,H
4313-PU-408|02-01-02,"Verificar los parámetros de operación, de ser necesario algún desvio cambiar los componetes internos.",PREV,TEC-MEC,DET,1,2,8000,H
4313-PU-408|02-01-03,"Desmontar en la carcasa el lado de la succión para tener acceso al impulsor, determinar el estado del impulsor (desgaste y/o corrosión), desmontar el impulsor del eje, verificar el desgaste en el eje, verificar el anillo de desgaste, montar el nuevo impulsor, regular la holgura entre carcaza e impulsor, torquear el perno de ajuste del impulsor, inspección y reemplazo de las empaquetaduras, torquear pernos de la carcasa (ajustar los pernos en cruz).",COND,TEC-MEC,DET,4,2,,
4313-PU-408|02-01-04,"Verificar fugas por la conección de ingreso de agua. Verificar fuga por prensaestopas, de ser necesario agregar y/o cambiar prensaestopas. Verificar prueba de funcionamiento y tomar parámetros operacionales.",INSP,TEC-MEC,MAR,0.25,1,165,H
4313-PU-408|02-01-05,Desmontar el eje de la bomba desde el lado de la caja de rodamientos. Desmontar las tapas y la carcasa. Desmontar las estopas y/o kit de orings. Verificar el desgaste de la camiseta. Montar el impulsor sobre el eje. Montar la caja de rodamientos y asegurar la carcasa.,PREV,TEC-MEC,DET,3,3,8000,H
4313-PU-408|02-01-06,"Limpiar la parte externa del equipo, arenar y/o pintar la bomba para evitar corrosión y desgastes externos.",PREV,TEC-MEC,DET,4,2,8000,H
4313-PU-408|02-02-01,"Verificar que no existan ruidos ni vibraciones inusuales, verificar la temperatura no exceda 80°C, verificar fugas de grasa por los sellos y/o juntas. Verificar prueba de funcionamiento y tomar parámetros operacionales.",INSP,TEC-MEC,MAR,0.25,1,165,H
4313-PU-408|02-02-02,"Utilizar el colector de vibración para realizar las mediciones en los rodamientos en tres puntos (vertical, horizontal y axial) del lado fijo y el lado libre. Verificar que la vibración no exceda los XX mm/s.",PRED,TEC-PRD,MAR,0.25,1,750,H
4313-PU-408|02-02-03,Utilizar la cámara termográfica para tomar lectura de temperatura en los rodamientos verificando que no exceda 80°C.,PRED,TEC-PRD,MAR,0.25,1,750,H
4313-PU-408|02-02-04,"Desmontar la caja de rodamientos, desmontar los sellos y/o juntas de la bomba para asegurar estanqueidad del equipo de ser necesario, montar los sellos radiales.",PREV,TEC-MEC,DET,2,4,165,H
4313-PU-408|02-02-05,"Desmontar la caja de rodamientos, desmontar los rodamientos (libre y fijo), verificar desgaste en el eje, cambiar los rodamientos, ajustar los topes y tapas de la caja de rodamientos.",COND,TEC-MEC,DET,4,4,,
4313-PU-408|02-02-06,Realizar la lubricación de lo rodamientos con grasa MOBILGREASE XHP 222.,COND,TEC-MEC,MAR,1,2,,
4313-PU-408|03-01-01,"PT-40232, PI-40230, PI-40231, PRV-40233, US-40236B, FI-40234, US-40236A, US-40236B, UE-40236.",INSP,TEC-INS,MAR,0.5,2,1,M
4313-PU-408|03-01-02,"PT-40232, PI-40230, PI-40231, PRV-40233, US-40236B, FI-40234, US-40236A, US-40236B, UE-40236.",PREV,TEC-INS,DET,1,2,8000,H
4313-PU-408|03-01-03,"PT-40232, PI-40230, PI-40231, PRV-40233, US-40236B, FI-40234, US-40236A, US-40236B, UE-40236.",COND,TEC-INS,DET,1,2,,
4313-PU-408|03-02-01,PT-40232.,PREV,TEC-INS,MAR,1,2,4000,H
3332-PU-352|01-01-01,"Inspeccionar conexión a tierra, cables de alimentación, caja de conexiones, pernos de anclaje, carcasa del motor, ventilador, tuberías flexibles conduit, verificar pintura de motor, inspeccionar fugas de lubricante en rodamientos. De ser necesario realizar la actividad de limpieza del motor con caudal de aire.
Registrar los parámetros eléctricos de cada motor.",INSP,TEC-ELE,MAR,0.5,2,1,M
3332-PU-352|01-01-02,"Limpiar parte externa del motor (carcaza, tapa de ventiladores, puntos de lubricación) con caudal de aire (blower), espátula, brocha y trapo para pulverizar con solvente dieléctrico, retirar sulfato y oxido de pernos de anclaje y conexiones a tierra.",PREV,TEC-ELE,DET,1,2,4000,H
3332-PU-352|01-01-03,"Limpiar el exterior con trapo y solvente dieléctrico de ser necesario, ajustar conexiones, verificar que los terminales se encuentren en buen estado, verificar la hermeticidad de la caja de conexiones, inspeccionar el cable de alimentación. Aplicar anticorrosivo de zinc a pernos de tapa.",PREV,TEC-ELE,DET,1,2,8000,H
3332-PU-352|01-01-04,"Retirar la tapa del ventilador, limpiar el ventilador con trapo y solvente dieléctrico, colocar la tapa del ventilador, cambiar el ventilador si se encuentra roto.",PREV,TEC-ELE,DET,1,2,8000,H
3332-PU-352|01-01-05,"Limpiar el terminal del cable a tierra, ajustar terminal del cable a tierra, cambiar el terminal del cable a tierra de ser necesario, inspeccionar integridad del cable.",PREV,TEC-ELE,DET,0.5,2,8000,H
3332-PU-352|01-01-06,Verificar estatus de confirmación de termistor en sala eléctrica.,PREV,TEC-ELE,DET,0.5,2,8000,H
3332-PU-352|01-01-07,"Retirar las tapas del lado ventilador y lado acople, retirar los rodamientos con el extractor de rodamientos, colocar los rodamientos nuevos, colocar las tapas retiradas. Rodamiento delantero 6311-ZZ-C3, Rodamiento posterior 6211-ZZ-C3 (El cambio se realizara según monitoreo de condición).",COND,TEC-ELE,DET,4,2,,
3332-PU-352|01-01-08,"Retirar la tapa de la caja de conexiones, desconectar cables de alimentación, medir resistencia de aislamiento, conectar los cables, cerrar la tapa de conexión. Registrar datos de actividad en formato establecido.",PREV,TEC-ELE,DET,1,2,8000,H
3332-PU-352|01-01-09,Utilizando el pirómetro tomar lectura y registrar la temperatura en los rodamientos verificando que no exceda según manual de fabricante.,INSP,TEC-ELE,MAR,0.5,1,1,M
3332-PU-352|01-01-10,Utilizando el pirómetro tomar lectura y registrar la temperatura en el estator verificando que no exceda según datos de placa. (Considerar que la temperatura real es aproximadamente 20°C de la temperatura medida).,INSP,TEC-ELE,MAR,0.5,1,1,M
3332-PU-352|01-01-11,"Utilizando el colector de vibración realizar las mediciones en los rodamientos en tres puntos (vertical, horizontal y axial). Verificar que la vibración no exceda los 5 mm/seg, registrar las mediciones tomadas en los puntos antes descritos, descargar y comparar los datos obtenidos con los niveles de alerta y peligro.",PRED,TEC-PRD,MAR,0.5,1,2000,H
3332-PU-352|01-01-12,"Limpiar el área donde se va a tomar la medición, determinar la distancia de medición apropiada del área que queremos medir que es medible o visible, el Angulo de visión, el objeto identificable más pequeño y el objeto medible/marca de medición más pequeño, tomar termografía al motor, la captura debe ser tomada a todo el motor, descargar la captura en la computadora y realizar el análisis de la toma. (Considerar que la temperatura real del estator es aproximadamente 15 a 20°C de la temperatura medida).",PRED,TEC-PRD,MAR,0.5,1,2000,H
3332-PU-352|01-02-01,"Realizar la limpieza interior utilizando la aspiradora para retirar el polvo acumulado, limpiar con trapo y brocha de ser necesario, inspeccionar el estado de las conexiones eléctricas como fusibles, borneras, transformador de control, relé, accionamientos mecánicos, aisladores y pernos de sujeción, verificar falta de ajuste, falsos contactos o posibles puntos calientes, retirar la tapa del contactor para la limpieza y mantenimiento de contactos, utilizar limpia contactos para el mantenimiento respectivo, realizar cambio de algún componente de ser necesario, verificar la continuidad de contactos con el multímetro, realizar el ajuste de todos los pernos de borneras y dispositivos con conexiones eléctricas, verificar el estado de las lámparas indicadoras, realizar el mantenimiento a las botoneras y parada de emergencia utilizando el multímetro verificar su operatividad, verificar el estad de los cables, que no presenten signos de recalentamiento y se encuentren debidamente rotulados.",PREV,TEC-ELE,DET,2,2,8000,H
3332-PU-352|01-03-01,Inspección de fugas y elementos de unión del acople.,INSP,TEC-MEC,MAR,0.5,1,660,H
3332-PU-352|01-03-02,"Desmontar el acople, verificar si los diametros del eje se encuentran dentro de los valores correctos de tolerancia y ajuste para el componente, verificar el estado de los elementos de arrastre(chavetas) y de los canales chaveteros en el eje, montaje del nuevo acoplamiento teniendo en cuenta no dañar los componentes en este proceso.",COND,TEC-MEC,DET,4,2,,
3332-PU-352|01-03-03,"Corregir defectos de pie cojo en el equipo movil, diagnosticar el desalineamiento con equipo laser, lainar los puntos de anclaje del equipo movil asi como los desplazamientos horizontales según los datos del equipo de alineamiento laser, torquear pernos de anclaje, realizar medición de estado fianl de alineamiento dentro de valores de tolerancia con el equipo de alineamiento.",COND,TEC-PRD,DET,2,2,,
3332-PU-352|02-01-01,"Verificar visualmente la ausencia de fugas en los ductos de succión y descarga de la carcasa, realizar el cambio de empaques de ser necesario.",INSP,TEC-MEC,MAR,0.5,2,660,H
3332-PU-352|02-01-02,"Limpiar la parte externa del equipo, arenar y/o pintar la bomba para evitar corrosión y desgastes externos.",PREV,TEC-MEC,DET,6,2,8000,H
3332-PU-352|02-02-01,"Desmontar en la carcasa el lado de la succión para tener acceso al impulsor, determinar el estado del impulsor (desgaste y/o corrosión), desmontar el impulsor del eje, verificar el desgaste en el eje, verificar el anillo de desgaste, montar el nuevo impulsor, regular la holgura entre carcaza e impulsor, torquear el perno de ajuste del impulsor, inspección y reemplazo de las empaquetaduras, torquear pernos de la carcasa(ajustar los pernos en cruz). Cambiar los sellos laberinto conjuntamente con esta actividad.",PREV,TEC-MEC,DET,6,3,8000,H
3332-PU-352|02-03-01,"En el visor de la caja de rodamientos, rellenar el aceite de ser necesario hasta llegar al nivel optimo. Emplear aceite ISO VG 68 - Mobil DTE 10 Excel 68.",INSP,TEC-MEC,MAR,0.25,1,660,H
3332-PU-352|02-03-02,"Utilizando el colector de vibración realizar las mediciones en los rodamientos en tres puntos (vertical, horizontal y axial). Verificar que la vibración no exceda los límites permisibles, registrar las mediciones tomadas en los puntos antes descritos, descargar y comparar los datos obtenidos con los niveles de alerta y peligro.",PRED,TEC-PRD,MAR,0.5,1,2000,H
3332-PU-352|02-03-03,"Limpiar el área donde se va a tomar la medición, determinar la distancia de medición apropiada del área que queremos medir que es medible o visible, el Angulo de visión, el objeto identificable más pequeño y el objeto medible/marca de medición más pequeño, tomar termografía a la caja de rodamientos, descargar la captura en la computadora y realizar el análisis de la toma.",PRED,TEC-PRD,MAR,0.5,1,2000,H
3332-PU-352|02-03-04,"Cambio de rodamientos, desmontar la caja de rodamientos, desmontar los rodamientos (fijo y móvil), verificar desgaste en el eje, cambiar los rodamientos, ajustar los topes y tapas de la caja de rodamientos.",COND,TEC-MEC,DET,6,2,,
3332-PU-352|02-03-05,"Depurar el aceite usado de la caja de rodamientos, limpiar con un solvente adecuado, llenar con el nuevo aceite hasta la mirilla de nivel. Emplear aceite ISO VG 68 - Mobil DTE 10 Excel 68, cantidad 1.7 litros, frecuencia semestral (equivalente 4000H de operación).",PREV,TEC-MEC,DET,2,2,4000,H
3332-PU-352|02-04-01,"Inspeccionar fugas en los sellos de la caja de rodamientos, de ser necesario realizar el cambio de los mismos.",INSP,TEC-MEC,MAR,2,2,660,H
3332-PU-352|02-04-02,"Inspeccionar juntas para determinar fugas, cambio de empaques y juntas de la bomba para asegurar estanqueidad del equipo de ser necesario.",INSP,TEC-MEC,MAR,2,2,660,H
3332-PU-352|02-05-01,"Desmontar el eje de la bomba desde el lado de la caja de rodamientos, desmontar las tapas y la carcasa, desmontar el sello mecánico, verificar el desgaste de la camiseta (reemplazarla de ser necesario), reemplazar el componente, montar el impulsor sobre el eje, montar la caja de rodamientos y asegurar la carcasa.",COND,TEC-MEC,DET,3,2,,
3332-PU-352|02-06-01,"Desmontar el eje del equipo, verificar con la ayuda de reloj comparador ovalicidad, conicidad y desgaste especialmente en zonas de apoyo de rodamientos y sellos. De presentar desgaste en el eje, recuperar la medida por medio de camisetas o bujes de desgaste.",INSP,TEC-MEC,DET,6,2,8000,H
3332-PU-352|02-07-01,"Cambiar los elementos de union como pernos, chavetas, pasadores, etc. De presentarse estiramiento, o deformación por efuerzos de compresión, tracción o cizallamiento. Inspección y mantenimiento de acople de ser necesario.",COND,TEC-MEC,DET,0.5,2,,
3332-PU-352|02-08-01,"Desenergizar el motor, retirar las tuberias de alimentación y descarga, retirar los pernos de sujeción de la carcasa, retirar la carcasa e instalar la nueva.",COND,TEC-MEC,DET,6,2,,
3332-PU-352|03-01-01,"PT-36053, FIT-36052.",INSP,TEC-INS,MAR,1,2,1,M
3332-PU-352|03-01-02,"PT-36053, FIT-36052.",PREV,TEC-INS,DET,1,2,8000,H
3332-PU-352|03-01-03,"PT-36053, FIT-36052.",COND,TEC-INS,DET,2,2,,
3332-PU-352|03-02-01,"PT-36053, FIT-36052.",PREV,TEC-INS,MAR,2,2,4000,H
3242-PU-743|01-01-01,"Inspeccionar conexión a tierra, cables de alimentación, caja de conexiones, pernos de anclaje, carcasa del motor, ventilador, tuberías flexibles conduit, verificar pintura de motor, inspeccionar fugas de lubricante en rodamientos. De ser necesario realizar la actividad de limpieza del motor con caudal de aire.
Registrar los parámetros eléctricos de cada motor.",INSP,TEC-ELE,MAR,0.5,2,2,S
3242-PU-743|01-01-02,"Limpiar parte externa del motor (carcaza, tapa de ventiladores, puntos de lubricación) con caudal de aire (blower), espátula, brocha y trapo para pulverizar con solvente dieléctrico, retirar sulfato y oxido de pernos de anclaje y conexiones a tierra.",PREV,TEC-ELE,DET,2,2,2000,H
3242-PU-743|01-01-03,"Limpiar el exterior con trapo y solvente dieléctrico de ser necesario, ajustar conexiones, verificar que los terminales se encuentren en buen estado, verificar la hermeticidad de la caja de conexiones, inspeccionar el cable de alimentación. Aplicar anticorrosivo de zinc a pernos de tapa.
Comprobar la continuidad de cada elemento del calefactor.",PREV,TEC-ELE,DET,1,2,8000,H
3242-PU-743|01-01-04,"Retirar la tapa del ventilador, limpiar el ventilador con trapo y solvente dieléctrico, colocar la tapa del ventilador, cambiar el ventilador si se encuentra roto. Aplicar anticorrosivo de zinc a pernos de ventilador.",PREV,TEC-ELE,DET,1,2,8000,H
3242-PU-743|01-01-05,"Limpiar el terminal del cable a tierra, ajustar terminal del cable a tierra, cambiar el terminal del cable a tierra de ser necesario, inspeccionar integridad del cable. Aplicar anticorrosivo de zinc a pernos de cable a tierra.",PREV,TEC-ELE,DET,0.5,2,8000,H
3242-PU-743|01-01-06,"Retirar las tapas del lado ventilador y lado acople, retirar los rodamientos con el extractor de rodamientos, colocar los rodamientos nuevos, colocar las tapas retiradas. Rodamiento delantero XXXX, Rodamiento posterior XXXX (El cambio se realizara según monitoreo de condición).",COND,TEC-ELE,DET,5,2,,
3242-PU-743|01-01-07,"Retirar la tapa de la caja de conexiones, desconectar cables de alimentación, medir resistencia de aislamiento, conectar los cables, cerrar la tapa de conexión. Registrar datos de actividad en formato establecido.",PREV,TEC-ELE,DET,1,2,8000,H
3242-PU-743|01-01-08,"Retirar el tapón de la grasera del rodamiento a engrasar, limpiar la grasera con un trapo, retirar tapón de drenaje de grasa, colocar la manguera de la bomba de engrase sobre la grasera, rellenar de grasa y retirar la manguera, colocar nuevamente los tapones y ajustarlo debidamente, verificar que no existen fugas (lagrimeo). Rodamiento delantero XXXX cantidad de grasa XXg, Rodamiento posterior XXXX cantidad de grasa XXg.",COND,TEC-ELE,MAR,0.5,1,,
3242-PU-743|01-01-09,Utilizando el pirómetro tomar lectura y registrar la temperatura en los rodamientos verificando que no exceda según manual de fabricante.,PREV,TEC-ELE,MAR,0.5,1,330,H
3242-PU-743|01-01-10,Utilizando el pirómetro tomar lectura y registrar la temperatura en el estator verificando que no exceda según datos de placa. (Considerar que la temperatura real es aproximadamente 20°C de la temperatura medida).,PREV,TEC-ELE,MAR,0.5,1,330,H
3242-PU-743|01-01-11,"Utilizando el colector de vibración realizar las mediciones en los rodamientos en tres puntos (vertical, horizontal y axial). Verificar que la vibración no exceda los 5 mm/seg, registrar las mediciones tomadas en los puntos antes descritos, descargar y comparar los datos obtenidos con los niveles de alerta y peligro.",PRED,TEC-PRD,MAR,0.5,1,1500,H
3242-PU-743|01-01-12,"Limpiar el área donde se va a tomar la medición, determinar la distancia de medición apropiada del área que queremos medir que es medible o visible, el Angulo de visión, el objeto identificable más pequeño y el objeto medible/marca de medición más pequeño, tomar termografía al motor, la captura debe ser tomada a todo el motor, descargar la captura en la computadora y realizar el análisis de la toma. (Considerar que la temperatura real del estator es aproximadamente 15 a 20°C de la temperatura medida).",PRED,TEC-PRD,MAR,0.5,1,1500,H
3242-PU-743|01-01-13,"Abrir la tapa de cubículo y realizar la limpieza del interior utilizando la aspiradora para retirar el polvo acumulado, limpiar con trapo industrial e inspeccionar el estado de las conexiones eléctricas (fusibles, borneras, transformador de control, relé, accionamientos mecánicos, aisladores y pernos de sujeción verificando rajaduras, falta de ajuste, falsos contactos o posibles puntos calientes, retirar la tapa del contactor para la limpieza y mantenimiento de contactos, utilice limpia contactos para el mantenimiento respectivo, si es necesario algún cambio de componentes, usando un multímetro verificar la continuidad de contactos, realizar el ajuste de todos los pernos de borneras y dispositivos con conexiones eléctricas, verificar el estado de las lámparas indicadoras, realizar el mantenimiento a las botoneras y parada de emergencia utilizando el multímetro verificar su operatividad, verificar el estad de los cables que no presenten signos de recalentamiento y se encuentren debidamente rotulados.",PREV,TEC-ELE,DET,2,2,8000,H
3242-PU-743|01-02-01,Verificar ruido inusual y/o solturas en los elementos de unión del acople.,INSP,TEC-MEC,MAR,0.25,1,660,H
3242-PU-743|01-02-02,"Verificar ruido inusual y/o solturas en los elementos de unión del acople, ajustar elementos de unión y reemplazar acople de ser necesario.",INSP,TEC-MEC,DET,1,1,2000,H
3242-PU-743|01-02-03,"Desmontar el acople, verificar si los diámetros del eje se encuentran dentro de los valores correctos de tolerancia y ajuste para el componente, verificar el estado de los elementos de arrastre (masas, canales y chavetas), montaje del nuevo acoplamiento teniendo en cuenta no dañar los componentes en este proceso.",COND,TEC-MEC,DET,2,2,,
3242-PU-743|01-02-04,"Corregir defectos de pie cojo en el equipo móvil, diagnosticar el desalineamiento con equipo laser, lainar los puntos de anclaje del equipo móvil así como los desplazamientos horizontales según los datos del equipo de alineamiento laser, torquear pernos de anclaje, realizar medición de estado final de alineamiento dentro de valores de tolerancia con el equipo de alineamiento.",COND,TEC-PRD,DET,2,3,,
3242-PU-743|02-01-01,"Verificar el ajuste entre la placa lateral y el impulsor, verificar fuga por los pernos de unión y/o juntas de la carcasa, verificar condición de pernos de unión, verificar desgaste y/o corrosión de la carcasa.",INSP,TEC-MEC,MAR,0.5,2,660,H
3242-PU-743|02-01-02,"Verificar los parámetros de operación, de ser necesario algún desvio cambiar los componetes internos.",PREV,TEC-MEC,MAR,1,2,8000,H
3242-PU-743|02-01-03,"Desmontar en la carcasa el lado de la succión para tener acceso al impulsor, determinar el estado del impulsor (desgaste y/o corrosión), desmontar el impulsor del eje, verificar el desgaste en el eje, verificar el anillo de desgaste, montar el nuevo impulsor, regular la holgura entre carcaza e impulsor, torquear el perno de ajuste del impulsor, inspección y reemplazo de las empaquetaduras, torquear pernos de la carcasa (ajustar los pernos en cruz).",PREV,TEC-MEC,DET,6,3,4000,H
3242-PU-743|02-01-04,"Desmontar y retirar los pernos de unión de la carcasa, retirar eje e impulsor, retirar pernos de sujeción de revestimiento, cambiar forros, ajustar forros nuevos, montar eje e impulsor, montar la carcasa.",PREV,TEC-MEC,DET,8,3,8000,H
3242-PU-743|02-01-05,"Limpiar la parte externa del equipo, arenar y/o pintar la bomba para evitar corrosión y desgastes externos.",PREV,TEC-MEC,DET,5,2,8000,H
3242-PU-743|02-02-01,"Verificar que no existan ruidos ni vibraciones inusuales, verificar la temperatura no exceda 80°C, verificar fugas de grasa por los sellos y/o juntas.",INSP,TEC-MEC,MAR,0.25,1,330,H
3242-PU-743|02-02-02,"Monitorear el nivel de vibración de los rodamientos del reductor realizando medidas de aceleración y velocidad, cada punto de medición deberá contener la posición vertical, horizontal y axial, comparar el valor medido de acuerdo a las ISO 10816 y/o el estándar de vibración del área.",PRED,TEC-PRD,MAR,0.25,1,1500,H
3242-PU-743|02-02-03,Utilizar la cámara termográfica para tomar lectura de temperatura en los rodamientos verificando que no exceda 80°C.,PRED,TEC-PRD,MAR,0.25,1,1500,H
3242-PU-743|02-02-04,"Desmontar la caja de rodamientos, desmontar los sellos y/o juntas de la bomba para asegurar estanqueidad del equipo de ser necesario, montar los sellos radiales.",COND,TEC-MEC,DET,2,2,,
3242-PU-743|02-02-05,"Desmontar la caja de rodamientos, desmontar los rodamientos (libre y fijo), verificar desgaste en el eje, cambiar los rodamientos, ajustar los topes y tapas de la caja de rodamientos.",COND,TEC-MEC,DET,3,2,,
3242-PU-743|02-02-06,Realizar la lubricación de acuerdo a la condición del equipo y con el lubricante sugerido por el vendor.,LUBR,TEC-MEC,MAR,0.5,2,4000,H
3242-PU-743|02-03-01,"Verificar fuga por sello mecánico, de ser necesario realizar el cambio del kit de reparación o el cambio total del sello.",INSP,TEC-MEC,MAR,0.25,2,330,H
3242-PU-743|02-03-02,"Desmontar el eje de la bomba desde el lado de la caja de rodamientos, desmontar las tapas y la carcasa, desmontar el sello mecánico, verificar el desgaste de la camiseta de ser necesario reemplazar el componente, montar el impulsor sobre el eje, montar la caja de rodamientos y asegurar la carcasa.",COND,TEC-MEC,DET,3,2,,
3242-PU-743|02-04-01,"Desmontar el eje del equipo, verificar con la ayuda de reloj comparador ovalicidad, conicidad y desgaste especialmente en zonas de apoyo de rodamientos y sellos. De presentar desgaste en el eje, cambiar eje o recuperar la medida por medio de camisetas o bujes de desgaste.",COND,TEC-MEC,DET,5,2,,
3242-PU-743|02-05-01,"Cambiar los elementos de union como pernos, chavetas, pasadores, etc. De presentarse estiramiento, o deformación por efuerzos de compresión, tracción o cizallamiento.",COND,TEC-MEC,DET,1,2,,
3355-PU-389|01-01-01,Mantenimiento general de reductor (cambio).,COND,TEC-MEC,DET,8,3,,
3355-PU-389|02-01-01,Cambiar los rodamientos.,COND,TEC-MEC,DET,6,2,,
3355-PU-389|02-02-01,Cambiar el estator.,COND,TEC-MEC,DET,4,2,,
3355-PU-389|02-03-01,Cambiar el rotor.,COND,TEC-MEC,DET,4,2,,
3355-PU-389|03-01-01,"Inspeccionar las tuberías flexibles conduit que no presenten deterioro, inspeccionar que los pernos de anclaje no presenten corrosión, inspeccionar que los instrumentos no presenten daños, inspeccionar el estado del interruptor de parada de emergencia. PSV-37097A.",INSP,TEC-INS,MAR,0.5,2,1,M
3355-PU-389|03-01-02,"Limpiar el exterior con trapo y solvente dieléctrico, retirar la tapa de conexiones y limpiar con limpia contactos, realizar el ajuste de conexiones, inspeccionar cables y terminales, realizar pruebas de continuidad en los interruptores. PSV-37097A.",PREV,TEC-INS,DET,2,2,4000,H
3355-PU-389|03-01-03,"Retirar la tapa de conexiones, realizar el cambio de instrumentos de acuerdo a condición, realizar el ajuste de conexiones del instrumento reemplazado, inspeccionar cables y terminales, realizar pruebas de continuidad en los interruptores. PSV-37097A.",COND,TEC-INS,DET,2,2,,
2262-PU-219|01-01-01,"Inspeccionar conexión a tierra, cables de alimentación, caja de conexiones, pernos de anclaje, carcasa del motor, ventilador, tuberías flexibles conduit, verificar pintura de motor, inspeccionar fugas de lubricante en rodamientos. De ser necesario realizar la actividad de limpieza del motor con caudal de aire.
Registrar los parámetros eléctricos de cada motor.",INSP,TEC-ELE,MAR,0.5,2,1,M
2262-PU-219|01-01-02,"Limpiar con caudal de aire (blower), espátula, brocha y trapo para pulverizar con solvente dieléctrico.",PREV,TEC-ELE,DET,1,2,4000,H
2262-PU-219|01-01-03,"Limpiar el exterior con trapo y solvente dieléctrico de ser necesario, ajustar conexiones, verificar que los terminales se encuentren en buen estado, verificar la hermeticidad de la caja de conexiones, inspeccionar el cable de alimentación. Aplicar anticorrosivo de zinc a pernos de tapa.
Comprobar la continuidad de cada elemento del calefactor.",PREV,TEC-ELE,DET,2,2,4000,H
2262-PU-219|01-01-04,"Retirar la tapa del ventilador, limpiar el ventilador con trapo y solvente dieléctrico, colocar la tapa del ventilador, cambiar el ventilador si se encuentra roto. Aplicar anticorrosivo de zinc a pernos de ventilador.",PREV,TEC-ELE,DET,1,2,4000,H
2262-PU-219|01-01-05,"Limpiar el terminal del cable a tierra, ajustar terminal del cable a tierra, cambiar el terminal del cable a tierra de ser necesario, inspeccionar integridad del cable. Aplicar anticorrosivo de zinc a pernos de cable a tierra.",PREV,TEC-ELE,DET,0.5,2,4000,H
2262-PU-219|01-01-06,"Retirar las tapas del lado ventilador y lado acople, retirar los rodamientos con el extractor de rodamientos, colocar los rodamientos nuevos, colocar las tapas retiradas. Rodamiento delantero 6314-C3 , Rodamiento posterior 6314-C3 (El cambio se realizara según monitoreo de condición).",COND,TEC-ELE,DET,5,2,,
2262-PU-219|01-01-07,"Retirar la tapa de la caja de conexiones, desconectar cables de alimentación, medir resistencia de aislamiento, conectar los cables, cerrar la tapa de conexión. Registrar datos de actividad en formato establecido.",PREV,TEC-ELE,DET,1,2,4000,H
2262-PU-219|01-01-08,"Retirar el tapón de la grasera del rodamiento a engrasar, limpiar la grasera con un trapo, retirar tapón de drenaje de grasa, colocar la manguera de la bomba de engrase sobre la grasera, rellenar de grasa y retirar la manguera, colocar nuevamente los tapones y ajustarlo debidamente, verificar que no existen fugas (lagrimeo). Rodamiento delantero 6314-C3 cantidad de grasa 27g intervalo de lubricación calculado 12000 h, Rodamiento posterior 6314-C3 cantidad de grasa 27g intervalo de lubricación calculado 12000 h.",LUBR,TEC-ELE,MAR,0.5,2,12000,H
2262-PU-219|01-01-09,Utilizando el pirómetro tomar lectura y registrar la temperatura en los rodamientos verificando que no exceda según manual de fabricante.,INSP,TEC-ELE,MAR,0.5,1,1,M
2262-PU-219|01-01-10,Utilizando el pirómetro tomar lectura y registrar la temperatura en el estator verificando que no exceda según datos de placa. (Considerar que la temperatura real es aproximadamente 20°C de la temperatura medida).,INSP,TEC-ELE,MAR,0.5,1,1,M
2262-PU-219|01-01-11,"Utilizando el colector de vibración realizar las mediciones en los rodamientos en tres puntos (vertical, horizontal y axial). Verificar que la vibración no exceda los 5 mm/seg, registrar las mediciones tomadas en los puntos antes descritos, descargar y comparar los datos obtenidos con los niveles de alerta y peligro.",PRED,TEC-PRD,MAR,1,1,1500,H
2262-PU-219|01-01-12,"Limpiar el área donde se va a tomar la medición, determinar la distancia de medición apropiada del área que queremos medir que es medible o visible, el Angulo de visión, el objeto identificable más pequeño y el objeto medible/marca de medición más pequeño, tomar termografía al motor, la captura debe ser tomada a todo el motor, descargar la captura en la computadora y realizar el análisis de la toma. (Considerar que la temperatura real del estator es aproximadamente 15 a 20°C de la temperatura medida).",PRED,TEC-PRD,MAR,0.5,1,1500,H
